
ID	Score	Status	Time	Duration
#737	0	FINISHED	2021-09-18 12:39:35.279	a minute
#720	0	FINISHED	2021-09-18 12:37:45.493	a minute
#713	0	FINISHED	2021-09-18 12:36:50.282	a few seconds
#707	0	FINISHED	2021-09-18 12:36:08.583	a few seconds
#700	0	FINISHED	2021-09-18 12:35:14.714	a few seconds
#686	63766	FINISHED	2021-09-18 12:32:50.413	a minute
#680	0	FINISHED	2021-09-18 12:31:39.095	a few seconds
#636	0	FINISHED	2021-09-18 12:25:23.230	a few seconds
#606	0	FINISHED	2021-09-18 12:20:32.280	a few seconds
#593	63540	FINISHED	2021-09-18 12:17:54.555	a minute
#551	65138	FINISHED	2021-09-18 12:10:44.611	a minute
#535	0	FINISHED	2021-09-18 12:08:07.344	a few seconds
#513	65737	FINISHED	2021-09-18 12:04:03.877	a minute
#417	55077	FINISHED	2021-09-18 11:45:19.208	a minute
#395	0	FINISHED	2021-09-18 11:41:35.474	a few seconds
#291	53814	FINISHED	2021-09-18 11:23:00.458	a minute
#228	49585	FINISHED	2021-09-18 11:08:21.773	a minute
#225	0	FINISHED	2021-09-18 11:06:54.673	a few seconds
#205	34648	FINISHED	2021-09-18 11:03:10.942	a minute
#163	32344	FINISHED	2021-09-18 10:54:21.592	a minute
#97	28083	FINISHED	2021-09-18 10:33:48.670	a minute
#58	32939	FINISHED	2021-09-18 10:22:11.744	a minute
#39	32288	FINISHED	2021-09-18 10:11:12.138	a minute
#34	30630	FINISHED	2021-09-18 10:09:19.475	a minute
